,매장이름,상표,주소,휘발유,경유,세차장,충전소,경정비,편의점,24시
337,지에스칼텍스㈜ 녹번주유소,GS칼텍스,서울 은평구 통일로 600 (녹번동),"1,682","1,886",ON,OFF,OFF,OFF,OFF
338,박석고개주유소,SK에너지,서울 은평구 통일로 945 (갈현동),"1,695","1,855",ON,OFF,OFF,OFF,ON
339,뉴타운셀프주유소,S-OIL,서울 은평구 통일로 1031,"1,695","1,875",OFF,OFF,OFF,OFF,OFF
340,성원이앤에스(주)은평지점,GS칼텍스,서울 은평구 통일로 968 (진관동),"1,695","1,855",ON,OFF,OFF,OFF,OFF
341,은평뉴타운주유소,SK에너지,서울 은평구 통일로 924 (불광동),"1,695","1,855",ON,OFF,ON,OFF,OFF
342,제이제이에너지,SK에너지,서울 은평구 응암로 163,"1,697","1,887",OFF,OFF,OFF,OFF,OFF
343,코끼리주유소,자가상표,서울 은평구 서오릉로 41 (녹번동),"1,698","1,938",ON,OFF,OFF,OFF,OFF
344,대양주유소,GS칼텍스,서울 중랑구 봉우재로 105 (상봉동),"1,624","1,794",ON,OFF,OFF,OFF,OFF
345,우림주유소,GS칼텍스,서울특별시 중랑구  용마산로 487 (망우제3동),"1,625","1,815",ON,OFF,OFF,OFF,OFF
346,(주)자연에너지 대창주유소,현대오일뱅크,서울 중랑구 동일로 636 (면목동),"1,627","1,797",OFF,OFF,OFF,OFF,OFF
347,오천만주유소,S-OIL,서울 중랑구 동일로 547 (면목동),"1,627","1,797",ON,OFF,OFF,OFF,OFF
348,구도일주유소 동천,S-OIL,서울 중랑구 동일로 654 (면목동),"1,627","1,797",ON,OFF,OFF,OFF,OFF
349,면목SELF주유소,SK에너지,서울 중랑구 동일로 627 (면목동),"1,627","1,797",ON,OFF,ON,OFF,OFF
350,대원주유소,GS칼텍스,서울 중랑구 동일로 600,"1,627","1,797",ON,OFF,OFF,OFF,OFF
351,(주)태영 구도일주유소 한인,S-OIL,서울 중랑구 망우로 170 (상봉동),"1,637","1,827",ON,OFF,ON,OFF,OFF
352,(주)기지에너지,S-OIL,서울 중랑구 용마산로 716 (신내동),"1,645","1,815",OFF,OFF,OFF,OFF,OFF
353,신내주유소,SK에너지,서울 중랑구 용마산로 705 (신내동),"1,658","1,825",ON,OFF,OFF,OFF,OFF
354,범아주유소,S-OIL,서울 중랑구 동일로 881 (묵동),"1,689","1,849",ON,OFF,ON,OFF,OFF
355,신일셀프주유소,SK에너지,서울 중랑구 상봉로 58 (망우동),"1,698","1,899",ON,OFF,ON,OFF,ON
356,용마로주유소,SK에너지,서울 중랑구 용마산로 309 (면목동),"1,698","1,858",ON,OFF,OFF,OFF,OFF
